BUDGET FISCAL YEAR,DEPARTMENT NAME,TOTAL BUDGET
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$125,611.63 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$125,625.00 "
2012,RECREATION AND PARKS,"$125,777.12 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$125,888.61 "
2014,CITY ADMINISTRATIVE OFFICER,"$125,918.00 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$125,960.76 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$126,000.00 "
2015,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$126,000.00 "
2014,AGING,"$126,478.00 "
2018,CITY ETHICS COMMISSION,"$126,500.00 "
2017,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$126,564.00 "
2012,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$126,585.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$126,626.73 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$126,640.63 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$126,644.36 "
2016,OFFICE OF FINANCE,"$126,800.00 "
2012,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$126,976.95 "
2017,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$127,019.00 "
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$127,032.83 "
2012,CITY ADMINISTRATIVE OFFICER,"$127,044.76 "
2013,TRANSPORTATION,"$127,085.54 "
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$127,234.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$127,404.41 "
2016,RECREATION AND PARKS,"$127,409.40 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$127,426.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$127,460.93 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$127,469.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$127,495.50 "
2013,TRANSPORTATION,"$127,531.93 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$127,542.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$127,556.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$127,568.67 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$127,600.00 "
2013,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$127,713.50 "
2015,CITY ADMINISTRATIVE OFFICER,"$127,730.00 "
2012,FIRE,"$127,755.00 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$127,902.00 "
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$127,905.00 "
2013,MAYOR,"$127,980.25 "
2014,TRANSPORTATION,"$128,000.00 "
2018,CITY CLERK,"$128,060.00 "
2018,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$128,106.68 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$128,200.00 "
2012,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$128,200.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$128,205.28 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$128,402.05 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$128,403.60 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$128,555.00 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$128,564.00 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$128,602.34 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$128,639.83 "
2013,ZOO,"$128,653.66 "
2018,MAYOR,"$128,726.00 "
2015,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$128,758.50 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$128,841.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$128,972.12 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$129,091.00 "
2013,BUILDING AND SAFETY,"$129,116.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$129,257.00 "
2016,MAYOR,"$129,260.65 "
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$129,276.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$129,299.98 "
2018,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$129,333.34 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$129,377.00 "
2015,AGING,"$129,399.00 "
2012,CITY CLERK,"$129,500.00 "
2016,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$129,538.76 "
2013,PUBLIC WORKS - CONTRACT ADMINISTRATION,"$129,581.00 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$129,583.51 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$129,619.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$129,638.00 "
2015,ZOO,"$129,650.00 "
2013,CITY PLANNING,"$129,675.00 "
2014,MAYOR,"$129,699.20 "
2015,RECREATION AND PARKS,"$129,703.00 "
2014,RECREATION AND PARKS,"$129,703.00 "
2017,CULTURAL AFFAIRS,"$129,743.00 "
2013,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$129,789.62 "
2013,MAYOR,"$129,901.56 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$129,904.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$129,913.00 "
2017,MAYOR,"$129,940.35 "
2014,LOS ANGELES DEPARTMENT OF CONVENTION AND TOURISM DEVELOPMENT,"$129,941.83 "
2012,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$130,000.00 "
2018,ZOO,"$130,000.00 "
2018,TRANSPORTATION,"$130,000.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$130,000.00 "
2015,NON-DEPARTMENTAL - WATER AND ELECTRICITY,"$130,000.00 "
2012,RECREATION AND PARKS,"$130,000.00 "
2012,COUNCIL,"$130,000.00 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$130,000.00 "
2015,PENSION,"$130,000.00 "
2013,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$130,000.00 "
2016,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$130,000.00 "
2014,CITY ADMINISTRATIVE OFFICER,"$130,000.00 "
2017,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$130,000.00 "
2014,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$130,000.00 "
2018,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$130,000.00 "
2015,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$130,000.00 "
2015,TRANSPORTATION,"$130,000.00 "
2013,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$130,012.20 "
2013,COUNCIL,"$130,015.13 "
2017,RECREATION AND PARKS,"$130,146.17 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$130,169.00 "
2014,TRANSPORTATION,"$130,328.14 "
2018,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$130,440.32 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$130,455.00 "
2014,PUBLIC WORKS - CONTRACT ADMINISTRATION,"$130,456.00 "
2016,CITY ADMINISTRATIVE OFFICER,"$130,458.32 "
2012,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$130,520.83 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$130,548.07 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$130,558.00 "
2012,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$130,560.00 "
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$130,628.83 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$130,700.00 "
2016,TRANSPORTATION,"$130,716.49 "
2013,CULTURAL AFFAIRS,"$130,770.49 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$130,784.11 "
2014,MAYOR,"$130,855.00 "
2015,POLICE,"$130,946.56 "
2016,PENSION,"$131,000.00 "
2018,MAYOR,"$131,122.76 "
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$131,158.00 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$131,158.00 "
2015,MAYOR,"$131,298.75 "
2012,CULTURAL AFFAIRS,"$131,371.61 "
2017,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$131,376.82 "
2014,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$131,384.24 "
2016,CULTURAL AFFAIRS,"$131,553.72 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$131,590.78 "
2014,MAYOR,"$131,654.89 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$131,669.00 "
2012,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$131,705.44 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$131,743.36 "
2013,MAYOR,"$131,809.00 "
2015,CITY CLERK,"$131,821.35 "
2016,CITY ATTORNEY,"$131,854.04 "
2013,CITY CLERK,"$131,883.00 "
2014,ANIMAL SERVICES,"$131,911.00 "
2018,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$131,943.14 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$132,000.00 "
2015,FIRE,"$132,000.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$132,000.00 "
2018,NON-DEPARTMENTAL - UNAPPROPRIATED BALANCE,"$132,000.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$132,000.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$132,140.07 "
2017,POLICE,"$132,236.00 "
2016,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$132,330.67 "
2017,NEIGHBORHOOD EMPOWERMENT,"$132,384.65 "
2017,CULTURAL AFFAIRS,"$132,413.00 "
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$132,510.00 "
2014,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$132,629.68 "
2018,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$132,639.05 "
2012,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$132,677.61 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$132,683.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$132,683.00 "
2018,NON-DEPARTMENTAL - HUMAN RESOURCES BENEFITS,"$132,737.68 "
2016,TRANSPORTATION,"$132,780.00 "
2013,CITY CLERK,"$132,800.00 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$132,838.51 "
2012,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$132,841.74 "
2018,COUNCIL,"$132,882.36 "
2015,INFORMATION TECHNOLOGY AGENCY,"$132,992.76 "
2017,CITY ADMINISTRATIVE OFFICER,"$133,000.00 "
2017,CULTURAL AFFAIRS,"$133,000.00 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$133,002.00 "
2016,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$133,006.57 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$133,100.00 "
2014,OFFICE OF FINANCE,"$133,100.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$133,100.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$133,107.82 "
2015,PUBLIC WORKS - BOARD OF PUBLIC WORKS,"$133,179.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$133,229.00 "
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$133,259.00 "
2016,TRANSPORTATION,"$133,420.00 "
2013,MAYOR,"$133,452.46 "
2014,CITY ATTORNEY,"$133,557.97 "
2018,TRANSPORTATION,"$133,685.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$133,734.95 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$133,837.00 "
2018,AGING,"$133,847.00 "
2015,AGING,"$133,848.00 "
2014,MAYOR,"$133,960.80 "
2013,TRANSPORTATION,"$134,048.53 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$134,185.00 "
2017,RECREATION AND PARKS,"$134,265.46 "
2017,RECREATION AND PARKS,"$134,279.72 "
2013,CITY ATTORNEY,"$134,332.00 "
2016,PUBLIC WORKS - BOARD OF PUBLIC WORKS,"$134,347.00 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$134,409.74 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$134,420.00 "
2012,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$134,420.00 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$134,422.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$134,617.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$134,697.09 "
2013,RECREATION AND PARKS,"$134,703.00 "
2016,CULTURAL AFFAIRS,"$134,715.00 "
2013,MAYOR,"$134,731.56 "
2018,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$134,776.64 "
2015,CITY PLANNING,"$134,805.91 "
2014,POLICE,"$134,828.35 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$134,833.75 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$134,925.00 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$134,925.00 "
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$134,928.00 "
2017,PUBLIC WORKS - ENGINEERING,"$134,974.00 "
2017,RECREATION AND PARKS,"$134,997.36 "
2014,LOS ANGELES DEPARTMENT OF CONVENTION AND TOURISM DEVELOPMENT,"$135,000.00 "
2015,PENSION,"$135,000.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$135,000.00 "
2015,NON-DEPARTMENTAL - GENERAL,"$135,000.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$135,000.00 "
2012,CULTURAL AFFAIRS,"$135,000.00 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$135,009.00 "
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$135,132.00 "
2017,NON-DEPARTMENTAL - HUMAN RESOURCES BENEFITS,"$135,160.21 "
2018,ZOO,"$135,164.00 "
2015,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$135,166.46 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$135,171.50 "
2016,AGING,"$135,195.00 "
2012,AGING,"$135,454.00 "
2017,RECREATION AND PARKS,"$135,471.43 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$135,522.75 "
2014,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$135,639.05 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$135,779.17 "
2018,MAYOR,"$135,828.31 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$135,977.00 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$136,000.00 "
2017,ZOO,"$136,000.00 "
2017,CITY ADMINISTRATIVE OFFICER,"$136,047.95 "
2017,RECREATION AND PARKS,"$136,081.73 "
2012,CULTURAL AFFAIRS,"$136,250.00 "
2015,MAYOR,"$136,254.61 "
2014,CITY ADMINISTRATIVE OFFICER,"$136,457.00 "
2012,CITY ADMINISTRATIVE OFFICER,"$136,457.00 "
2013,CITY ADMINISTRATIVE OFFICER,"$136,457.00 "
2015,CITY ADMINISTRATIVE OFFICER,"$136,457.00 "
2018,CITY ADMINISTRATIVE OFFICER,"$136,457.00 "
2017,CITY CLERK,"$136,500.00 "
2013,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,"$136,953.36 "
2015,CITY CLERK,"$137,000.00 "
2017,CITY CLERK,"$137,030.00 "
2017,POLICE,"$137,201.88 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$137,215.53 "
2016,CITY CLERK,"$137,234.38 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$137,344.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$137,421.66 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$137,444.98 "
2014,GENERAL SERVICES,"$137,492.78 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$137,500.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$137,535.65 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$137,558.89 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$137,727.46 "
2012,PUBLIC WORKS - CONTRACT ADMINISTRATION,"$137,781.00 "
2015,BUILDING AND SAFETY,"$137,855.00 "
2014,COUNCIL,"$137,856.00 "
2013,ZOO,"$137,860.00 "
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$137,892.00 "
2013,RECREATION AND PARKS,"$137,972.00 "
2013,COUNCIL,"$137,972.00 "
2015,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$138,000.00 "
2013,PENSION,"$138,000.00 "
2015,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$138,000.95 "
2014,CONTROLLER,"$138,071.00 "
2015,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$138,114.29 "
2018,MAYOR,"$138,199.00 "
2018,PUBLIC WORKS - STREET SERVICES,"$138,225.00 "
2016,ZOO,"$138,295.40 "
2015,TRANSPORTATION,"$138,298.89 "
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$138,432.00 "
2014,MAYOR,"$138,447.00 "
2012,CULTURAL AFFAIRS,"$138,500.00 "
2013,AGING,"$138,612.00 "
2014,PENSION,"$138,650.00 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$138,697.00 "
2012,MAYOR,"$138,718.23 "
2016,BUILDING AND SAFETY,"$138,739.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$138,797.24 "
2013,MAYOR,"$138,864.36 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$138,869.00 "
2015,CULTURAL AFFAIRS,"$138,916.68 "
2014,NON-DEPARTMENTAL - CAPITAL FINANCE ADMINISTRATION,"$138,938.00 "
2012,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$138,962.52 "
2012,MAYOR,"$139,057.84 "
2015,CONTROLLER,"$139,071.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$139,100.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$139,125.72 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$139,161.20 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$139,206.10 "
2013,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$139,229.00 "
2016,CITY ADMINISTRATIVE OFFICER,"$139,348.00 "
2014,NON-DEPARTMENTAL - UNAPPROPRIATED BALANCE,"$139,367.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$139,401.00 "
2015,POLICE,"$139,680.00 "
2012,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$139,776.83 "
2012,PUBLIC WORKS - BOARD OF PUBLIC WORKS,"$139,841.00 "
2013,ANIMAL SERVICES,"$139,848.00 "
2016,CITY CLERK,"$139,858.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$139,897.00 "
2016,COUNCIL,"$139,988.05 "
2012,PENSION,"$140,000.00 "
2014,CITY ADMINISTRATIVE OFFICER,"$140,000.00 "
2012,PUBLIC WORKS - STREET LIGHTING,"$140,000.00 "
2015,CITY CLERK,"$140,000.00 "
2012,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$140,000.00 "
2016,POLICE,"$140,000.00 "
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$140,000.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$140,000.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$140,000.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$140,000.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$140,000.00 "
2017,TRANSPORTATION,"$140,000.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$140,130.02 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$140,186.30 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$140,260.00 "
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$140,302.00 "
2016,CULTURAL AFFAIRS,"$140,368.00 "
2014,CULTURAL AFFAIRS,"$140,368.00 "
2015,CULTURAL AFFAIRS,"$140,368.00 "
2018,TRANSPORTATION,"$140,370.00 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$140,377.00 "
2018,GENERAL SERVICES,"$140,510.00 "
2016,CULTURAL AFFAIRS,"$140,575.48 "
2013,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$140,625.00 "
2015,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$140,669.45 "
2012,CITY CLERK,"$140,730.09 "
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$140,910.74 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$140,923.00 "
2012,CULTURAL AFFAIRS,"$140,997.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$141,057.60 "
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$141,072.00 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$141,146.00 "
2016,CITY CLERK,"$141,200.00 "
2015,RECREATION AND PARKS,"$141,249.23 "
2017,COUNCIL,"$141,264.00 "
2013,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$141,321.73 "
2016,CULTURAL AFFAIRS,"$141,523.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$141,540.72 "
2014,MAYOR,"$141,544.75 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$141,582.25 "
2018,AGING,"$141,660.00 "
2012,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$141,693.57 "
2014,TRANSPORTATION,"$141,966.17 "
2012,GENERAL SERVICES,"$141,971.48 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$142,000.00 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$142,132.00 "
2012,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$142,143.00 "
2018,CITY ADMINISTRATIVE OFFICER,"$142,383.00 "
2018,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$142,772.07 "
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$142,892.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$143,000.00 "
2012,GENERAL SERVICES,"$143,126.13 "
2014,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$143,137.50 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$143,140.74 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$143,143.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$143,219.16 "
2017,CITY ATTORNEY,"$143,328.10 "
2012,ANIMAL SERVICES,"$143,645.81 "
2012,CITY ADMINISTRATIVE OFFICER,"$143,755.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$143,925.94 "
2013,CITY EMPLOYEES RETIREMENT SYSTEM,"$144,000.00 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$144,000.00 "
2012,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$144,000.00 "
2016,CITY CLERK,"$144,000.00 "
2016,TRANSPORTATION,"$144,142.00 "
2016,ZOO,"$144,164.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$144,185.04 "
2012,TRANSPORTATION,"$144,234.00 "
2014,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$144,370.72 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$144,902.00 "
2014,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$144,983.45 "
2013,TRANSPORTATION,"$145,000.00 "
2012,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$145,000.00 "
